host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
100,True,True,80211,39.76703,-105.00256,Apartment,Entire home/apt,4,1,2,3,140.0,150.0,40.0,2,15.0,1,69,100,10,10.0,10.0,10.0,10.0,10.0,True,moderate,2,2,0,0,6.0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0
100,True,True,80207,39.753609999999995,-104.91237,House,Private room,3,1,1,1,61.0,0.0,10.0,1,5.0,1,54,97,10,10.0,10.0,10.0,10.0,10.0,False,flexible,2,0,2,0,4.53,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
100,True,True,80207,39.75438,-104.91156000000001,House,Private room,2,1,1,1,44.0,0.0,10.0,1,5.0,3,86,97,10,9.0,10.0,10.0,10.0,10.0,False,flexible,2,0,2,0,1.36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
100,True,True,80223,39.719809999999995,-104.99649,Apartment,Entire home/apt,2,1,0,1,95.0,150.0,75.0,2,100.0,1,6,99,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,1.33,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0
100,False,True,80220,39.739959999999996,-104.93173,Apartment,Entire home/apt,2,1,1,1,76.0,100.0,30.0,1,25.0,180,84,96,10,9.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,0.57,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0
100,True,True,80211,39.762159999999994,-105.02866000000002,Apartment,Entire home/apt,2,1,1,1,110.0,0.0,0.0,2,100.0,3,66,98,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,0.62,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
100,True,True,80211,39.765879999999996,-105.00545,House,Entire home/apt,2,1,1,2,111.0,150.0,35.0,2,20.0,1,53,98,10,10.0,10.0,10.0,10.0,10.0,True,moderate,2,2,0,0,5.29,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0
97,False,False,80207,39.75322,-104.93335,House,Entire home/apt,8,3,4,9,300.0,0.0,150.0,6,50.0,3,66,98,10,10.0,10.0,10.0,10.0,10.0,False,moderate,1,1,0,0,0.62,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0
100,False,True,80205,39.74947,-104.97611,House,Entire home/apt,4,2,2,2,179.0,100.0,80.0,4,50.0,1,0,96,10,9.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,2,1,1,0,1.36,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
100,False,True,80203,39.73276,-104.98035,Apartment,Entire home/apt,3,1,1,2,130.0,0.0,20.0,2,50.0,3,0,94,10,9.0,10.0,10.0,10.0,10.0,False,flexible,1,1,0,0,1.1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1
