date,host_response_rate,host_is_superhost,host_identity_verified,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,check_in_24h,air_conditioning,high_end_electronics,bbq,balcony,nature_and_views,bed_linen,breakfast,tv,coffee_machine,cooking_basics,washers,elevator,gym,child_friendly,parking,outdoor_space,host_greeting,hot_tub_sauna_or_pool,internet,long_term_stays,pets_allowed,private_entrance,secure,self_check_in,smoking_allowed,accessible,event_suitable
2019-02-05,100,False,False,80249,39.78216,-104.74851,House,Entire home/apt,6,1,3,3,80.0,0.0,50.0,3,10.0,2,59,92,9,10.0,10.0,9.0,10.0,10.0,True,strict_14_with_grace_period,1,1,0,0,1.58,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2012-10-25,100,False,False,80207,39.76336,-104.90644,House,Private room,2,1,1,1,60.0,0.0,25.0,1,15.0,1,90,94,10,10.0,10.0,10.0,10.0,9.0,True,flexible,1,0,1,0,1.6,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0
2017-09-20,87,False,True,80202,39.7442,-104.99479,Apartment,Entire home/apt,4,2,2,2,260.0,0.0,344.0,1,0.0,30,0,20,2,2.0,2.0,2.0,2.0,2.0,True,strict_14_with_grace_period,35,35,0,0,0.2,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
2014-08-11,100,False,True,80205,39.75926,-104.94693,House,Private room,2,1,1,1,49.0,500.0,25.0,2,0.0,1,85,100,10,10.0,10.0,10.0,9.0,10.0,False,moderate,1,0,1,0,6.96,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
2014-11-11,97,False,True,80202,39.75384,-104.99538,Apartment,Entire home/apt,8,1,1,3,225.0,150.0,75.0,4,35.0,2,0,97,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,1,1,0,0,0.54,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2014-04-11,90,True,False,80237,39.6465,-104.91576,House,Private room,2,1,1,1,50.0,100.0,30.0,2,25.0,1,6,99,10,10.0,10.0,10.0,10.0,10.0,True,moderate,4,0,4,0,1.94,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0
2013-09-10,100,True,False,80212,39.76343,-105.04005,Apartment,Private room,4,1,1,2,60.0,100.0,40.0,2,10.0,1,87,95,10,10.0,10.0,10.0,10.0,9.0,True,strict_14_with_grace_period,1,0,1,0,4.99,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
2017-08-01,100,True,False,80203,39.72365,-104.98121,Apartment,Entire home/apt,2,1,1,1,99.0,250.0,50.0,1,0.0,2,72,98,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,1,0,0,2.66,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2014-08-28,100,True,False,80219,39.68735,-105.04997,House,Private room,2,1,1,1,65.0,0.0,20.0,1,0.0,2,83,100,10,10.0,10.0,10.0,10.0,10.0,True,moderate,1,0,1,0,3.3,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0
2016-10-02,0,False,False,80203,39.73088,-104.98055,Apartment,Private room,1,1,1,1,40.0,0.0,0.0,1,0.0,1,0,80,10,8.0,10.0,9.0,10.0,8.0,False,flexible,2,1,1,0,0.27,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
2011-04-24,100,True,True,80222,39.65847,-104.92974,House,Private room,1,1,1,1,25.0,200.0,100.0,1,15.0,30,61,100,10,9.0,10.0,10.0,10.0,10.0,False,moderate,2,0,2,0,0.31,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
2018-08-06,100,False,False,80212,39.77459,-105.04904,House,Entire home/apt,4,1,1,2,99.0,200.0,100.0,2,10.0,29,90,96,10,10.0,9.0,9.0,10.0,9.0,False,moderate,3,3,0,0,0.63,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
2014-02-06,100,False,True,80211,39.77556,-105.00429,House,Entire home/apt,4,1,2,2,69.0,1149.0,149.0,2,29.0,3,55,94,10,9.0,10.0,10.0,10.0,9.0,False,strict_14_with_grace_period,1,1,0,0,1.93,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0
2014-01-10,100,False,True,80205,39.75949,-104.95888,House,Private room,2,2,1,1,40.0,200.0,40.0,1,7.0,2,29,99,10,10.0,10.0,10.0,10.0,10.0,False,strict_14_with_grace_period,2,1,1,0,2.17,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
